user_id,session_id,event_name,event_timestamp,acquisition_channel,signup_month,device_type,country,trial_status,plan_type
U0001,S770487,Landing,2025-05-23 21:00:00,Organic,2025-05,Desktop,USA,Expired,Free
U0001,S770487,Sign-up,2025-05-21 04:00:00,Organic,2025-05,Desktop,Pakistan,Active,Free
U0001,S770487,Onboarding,2025-05-22 05:00:00,Organic,2025-05,Tablet,USA,Active,Free
U0001,S770487,First Feature Use,2025-05-23 23:00:00,Organic,2025-05,Desktop,USA,Expired,Free
U0002,S331148,Landing,2025-01-04 20:00:00,Organic,2025-01,Tablet,UK,Expired,Free
U0003,S391369,Landing,2025-02-25 05:00:00,Organic,2025-02,Mobile,Pakistan,Expired,Free
U0003,S391369,Sign-up,2025-02-24 20:00:00,Organic,2025-02,Desktop,UK,Active,Free
U0003,S391369,Onboarding,2025-02-24 22:00:00,Organic,2025-02,Mobile,USA,Expired,Free
U0004,S705397,Landing,2025-01-24 10:00:00,Organic,2025-01,Desktop,Pakistan,Expired,Free
U0004,S705397,Sign-up,2025-01-25 11:00:00,Organic,2025-01,Mobile,UAE,Active,Free
U0005,S488162,Landing,2025-05-19 20:00:00,Organic,2025-05,Tablet,India,Active,Free
U0005,S488162,Sign-up,2025-05-19 11:00:00,Organic,2025-05,Mobile,UAE,Active,Free
U0005,S488162,Onboarding,2025-05-20 15:00:00,Organic,2025-05,Mobile,Pakistan,Active,Free
U0005,S488162,First Feature Use,2025-05-21 09:00:00,Organic,2025-05,Desktop,UAE,Expired,Free
U0006,S380746,Landing,2025-06-14 10:00:00,Organic,2025-06,Mobile,India,Expired,Free
U0006,S380746,Sign-up,2025-06-11 17:00:00,Organic,2025-06,Desktop,USA,Expired,Free
U0006,S380746,Onboarding,2025-06-14 23:00:00,Organic,2025-06,Tablet,UK,Expired,Free
U0007,S479580,Landing,2025-09-22 14:00:00,Organic,2025-09,Desktop,India,Active,Free
U0007,S479580,Sign-up,2025-09-22 05:00:00,Organic,2025-09,Tablet,UK,Active,Free
U0008,S503457,Landing,2025-10-01 15:00:00,Organic,2025-09,Tablet,Pakistan,Expired,Free
U0008,S503457,Sign-up,2025-10-02 02:00:00,Organic,2025-09,Tablet,UAE,Active,Free
